id,type,size,category
HARTARTO CIPUTRA,investor,4,Individual
DJS KETENAGAKERJAAN PROGRAM JAMINAN PENSIUN,investor,8,Insurance
SUKARTO BUJUNG,investor,4,Individual
PT. CAPITAL ASSET MANAGEMENT,investor,4,Securities Co
KOKARJADI CHANDRA,investor,4,Individual
FERRY SUDJONO,investor,4,Individual
GARIBALDI THOHIR,investor,7,Individual
PT. Victoria Investama Tbk,investor,10,Corporation
PT Yuanta Sekuritas Indonesia,investor,5,Securities Co
"UNION BANCAIRE PRIVEE, UBP SA SINGAPORE BRANCH",investor,7,Insurance/Pension
PT DANANTARA ASSET MANAGEMENT (PERSERO),investor,7,Corporation
BONHAM NOMINEES PTE LTD,investor,4,Corporation
"CAPITAL LIFE INDONESIA, PT",investor,4,Insurance
IRENE THESMAN,investor,4,Individual
PT. HOKI INVESTASI SEJATI,investor,5,Corporation
BANK JULIUS BAER & CO. LTD,investor,15,Insurance/Pension
GLAS TRUST (SINGAPORE) LTD.,investor,5,Insurance/Pension
PT.Pacific Indocorpora Indonesia,investor,6,Corporation
CGS INTERNATIONAL SEKURITAS INDONESIA,investor,8,Securities Co
CASCADEN INVESTMENT LIMITED,investor,7,Insurance/Pension
DMS INVESTAMA PT,investor,5,Corporation
ENDANG LESTARI PUJIASTUTI,investor,4,Individual
DBS BANK LTD S/A ALBIZIA ASEAN OPPORTUNITIES FUND,investor,6,Insurance/Pension
PT MINNA PADI INVESTAMA SEKURITAS Tbk,investor,4,Securities Co
WIDAYANTI DARMAWAN,investor,4,Individual
DJONI,investor,11,Individual
REKSA DANA NARADA SAHAM INDONESIA II,investor,4,Mutual Fund
TRIPUTRA INVESTINDO ARYA,investor,4,Corporation
PINKY NK,investor,4,Individual
PT ASKAR PELANGI ABADI,investor,9,Corporation
BANGKOK BANK PUBLIC COMPANY LIMITED,investor,6,Insurance/Pension
REKSA DANA OSO FLORES EQUITY FUND,investor,5,Mutual Fund
BOQUETE GROUP S.A.,investor,4,Insurance/Pension
REKSA DANA PANIN DANA MAKSIMA,investor,6,Mutual Fund
PT GRIYA INSANI CAKRA SADAYA,investor,4,Corporation
PT. MULTIPOLAR TBK,investor,5,Corporation
DRS SURONO SUBEKTI,investor,18,Individual
SMART EMPIRE GROUP LTD,investor,3,Others
SINAR MAS CAKRAWALA,investor,4,Corporation
DJS KETENAGAKERJAAN PROGRAM JAMINAN HARI TUA,investor,31,Insurance
ZICO TRUST (S) LTD,investor,6,Corporation
PT NUSANTARA INDAH CEMERLANG,investor,5,Corporation
SARATOGA INVESTAMA SEDAYA TBK PT,investor,7,Corporation
PT ASURANSI CENTRAL ASIA,investor,5,Insurance
INTERVENTURES CAPITAL PTE. LTD,investor,8,Others
Reksa Dana Pan Arcadia Dana Saham Bertumbuh,investor,12,Mutual Fund
DIAN CIPTAMAS AGUNG PT,investor,5,Corporation
"GADING DANALESTARI, PT",investor,5,Corporation
PT DANATAMA KAPITAL INVESTAMA,investor,4,Corporation
CACEIS BANK/NON TREATY UCITS CLIENTS,investor,4,Insurance/Pension
PT SEJAHTERA MAHKOTA PERSADA,investor,5,Corporation
"BANK PAN INDONESIA TBK, PT",investor,5,Insurance/Pension
DBS VICKERS SECS SINGAPORE (PTE) LTD A/C CLIENTS,investor,8,Securities Co
REKSA DANA SUCORINVEST MAXI FUND,investor,4,Mutual Fund
JPMORGAN CHASE BANK NA SINGAPORE BRANCH,investor,4,Others
PT ZED UTAMA PERSADA,investor,4,Corporation
DBS BANK LTD.,investor,25,Insurance/Pension
GOVERNMENT OF NORWAY,investor,24,Others
Resources Fortune LTD,investor,5,Others
ANTHONI SALIM,investor,4,Individual
UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,investor,9,Corporation
ASURANSI SIMAS JIWA,investor,11,Insurance
SUZANNA TANOJO,investor,6,Individual
EMPLOYEES PROVIDENT FUND BOARD,investor,22,Pension Fund
PANGOLIN INV MANAG PTE LTD-PANGOLIN ASIA FUND,investor,4,Insurance/Pension
PT GLOBAL MEDIACOM TBK,investor,6,Corporation
PT SURYA MASINDO,investor,4,Corporation
REKSA DANA EMCO GROWTH FUND,investor,6,Mutual Fund
BANK OF SINGAPORE LIMITED,investor,34,Insurance/Pension
"PT. BATAVIA PROSPERINDO INTERNASIONAL, TBK",investor,3,Corporation
REKSA DANA POOL ADVISTA KAPITAL OPTIMAL,investor,11,Mutual Fund
CGS INTERNATIONAL SECURITIES SINGAPORE PTE LTD,investor,25,Insurance/Pension
HERI SANTOSO LIEM,investor,3,Individual
REKSA DANA SYARIAH AURORA SHARIA EQUITY,investor,5,Mutual Fund
PT. AMAN DHITYA INVESTAMA,investor,3,Corporation
REKSA DANA SUCORINVEST EQUITY FUND,investor,9,Mutual Fund
SUWANTARA GOTAMA,investor,7,Individual
REKSA DANA NARADA CAMPURAN I,investor,4,Mutual Fund
"PANINVEST TBK, PT",investor,5,Corporation
REKSA DANA FOSTER EQUITY FUND,investor,4,Mutual Fund
REKSA DANA SAHAM EMCO PESONA,investor,4,Mutual Fund
"PACIFIC LIFE INSURANCE, PT",investor,4,Insurance
CITIBANK HONG KONG S/A CITIBANK HK SA PBG CLIENTS HK,investor,3,Insurance/Pension
VERAH WAHYUDI S WONG,investor,4,Individual
PT. ALANA CIPTA SELARAS,investor,7,Corporation
BANK JULIUS BAER CO. LTD. S/A PT INTI ANUGRAH PROPERTINDO PLEDGED ACC,investor,5,Corporation
"PANIN SEKURITAS Tbk, PT",investor,17,Securities Co
DANA PENSIUN KARYAWAN PANIN BANK,investor,7,Pension Fund
PT Prolestari Megapersada,investor,4,Corporation
Zurich Assets International Ltd,investor,4,Corporation
JONATHAN CHANG,investor,4,Individual
PT ARIMA KARYA PERSADA,investor,4,Corporation
MANOJ PITAMBER NANWANI,investor,8,Individual
KINGSWOOD UNION CORPORATION,investor,10,Others
PERUSAHAAN PERSEROAN (PERSERO) PT. ASABRI,investor,33,Insurance
REKSA DANA TF SUPER MAXXI,investor,5,Mutual Fund
UBS AG SINGAPORE BRANCH,investor,28,Insurance/Pension
NITA WULANSARI NUGROHO,investor,4,Individual
PT DWIMURIA INVESTAMA ANDALAN,investor,6,Corporation
"KHARISMA BUANA NUSANTARA, PT",investor,5,Corporation
PT ASURANSI JIWA CENTRAL ASIA RAYA,investor,4,Insurance
RUDY SUSANTO,investor,7,Individual
PT. MNC ASIA HOLDING TBK,investor,6,Corporation
CMNP,stock,,
BDMN,stock,,
DSSA,stock,,
ERAA,stock,,
BKDP,stock,,
MBTO,stock,,
SKYB,stock,,
ELPI,stock,,
WINS,stock,,
LAND,stock,,
KETR,stock,,
SMMA,stock,,
MAPI,stock,,
ARII,stock,,
BJTM,stock,,
AKKU,stock,,
RAJA,stock,,
ADRO,stock,,
MIDI,stock,,
FAST,stock,,
INTA,stock,,
IATA,stock,,
GOLD,stock,,
ARTI,stock,,
KMTR,stock,,
ULTJ,stock,,
FIRE,stock,,
MCAS,stock,,
OMRE,stock,,
SMIL,stock,,
LPIN,stock,,
SQMI,stock,,
BCAP,stock,,
RAAM,stock,,
TOWR,stock,,
ARNA,stock,,
ISAT,stock,,
CANI,stock,,
SIDO,stock,,
CBUT,stock,,
SIMA,stock,,
WICO,stock,,
VRNA,stock,,
BIRD,stock,,
ECII,stock,,
MORA,stock,,
TINS,stock,,
BTPN,stock,,
DIVA,stock,,
ENVY,stock,,
BUVA,stock,,
CDIA,stock,,
KBAG,stock,,
MAPB,stock,,
GMTD,stock,,
BOSS,stock,,
BBLD,stock,,
INTP,stock,,
RALS,stock,,
DGWG,stock,,
GDYR,stock,,
AGII,stock,,
BBRI,stock,,
ENAK,stock,,
ACES,stock,,
HELI,stock,,
PBSA,stock,,
MGLV,stock,,
STAA,stock,,
GJTL,stock,,
IPCC,stock,,
MOLI,stock,,
GWSA,stock,,
ASDM,stock,,
PTRO,stock,,
PANS,stock,,
NICK,stock,,
TALF,stock,,
BJBR,stock,,
BOBA,stock,,
TRIN,stock,,
SOHO,stock,,
BBCA,stock,,
LPLI,stock,,
KONI,stock,,
KBLM,stock,,
DYAN,stock,,
YULE,stock,,
BLOG,stock,,
MTDL,stock,,
PORT,stock,,
BPTR,stock,,
ASPI,stock,,
SIMP,stock,,
OMED,stock,,
DPNS,stock,,
MTLA,stock,,
MTPS,stock,,
INDR,stock,,
ESTA,stock,,
BRPT,stock,,
CPRO,stock,,
BIKA,stock,,
KJEN,stock,,
EMDE,stock,,
SGER,stock,,
FUJI,stock,,
MTRA,stock,,
LMAS,stock,,
POWR,stock,,
DILD,stock,,
