investor,stock,company,sector,lf,mar_pct,jan_local_agg_pct,jan_foreign_agg_pct
PT CAPITAL GLOBAL INVESTAMA,BACA,BANK CAPITAL INDONESIA Tbk,,Local,50.66,73.6,25.4
"ADRINDO INTIPERKASA, PT",SMSM,SELAMAT SEMPURNA Tbk,,Local,50.54,19.7,27.2
"CENTRAL ENERGI PRATAMA, PT",ANDI,ANDIRA AGRO Tbk,,Local,49.73,50.2,0.0
PT MANDALINDO PUTRA PERKASA,OILS,INDO OIL PERKASA Tbk,,Local,47.85,37.4,0.1
PT ENAM BERLIAN SINERGI,REAL,REPOWER ASIA INDONESIA Tbk,,Local,46.72,51.2,2.0
"SENA DWIMAKMUR, PT",SCNP,SELARAS CITRA NUSANTARA PERKASA Tbk,,Local,45.0,15.2,4.8
SIGMANTARA ALFINDO,AMRT,SUMBER ALFARIA TRIJAYA Tbk,,Local,44.0,51.7,33.0
"PURINUSA EKAPERSADA, PT",INKP,INDAH KIAT PULP AND PAPER Tbk,,Local,41.05,36.8,20.1
PT GLOBAL BASE UNIVERSAL,BLES,SUPERIOR PRIMA SUKSES Tbk,,Local,40.83,16.2,0.1
NUR INTERNASIONAL SAMUDRA PT,HAIS,HASNUR INTERNASIONAL SHIPPING Tbk,,Local,40.8,52.6,1.0
PT TIRTA ORISA YASA,PSKT,RED PLANET INDONESIA Tbk,,Local,40.77,99.5,0.4
PT BEYOND MEDIA,ABBA,MAHAKA MEDIA Tbk,,Local,40.47,87.2,1.1
PT BEYOND MEDIA,MARI,MAHAKA RADIO INTEGRA Tbk,,Local,40.35,99.0,1.0
PT. TRIPLE BERKAH BERSAMA,MEJA,HARTA DJAYA KARYA Tbk,,Local,39.31,98.5,1.2
GLOBALASIA CAPITAL INVESTAMA PT,RAFI,SARI KREASI BOGA Tbk,,Local,38.36,61.2,0.4
PT VERDAN SAWIT LESTARI,CSRA,CISADANE SAWIT RAYA Tbk,,Local,38.0,92.5,7.5
"RAJAWALI CAPITAL INTERNATIONAL, PT.",BWPT,"EAGLE HIGH PLANTATIONS, Tbk",,Local,37.7,57.0,43.0
PT SIGMA MUTIARA,PBSA,PARAMITA BANGUN SARANA Tbk,,Local,37.56,93.3,6.7
PT. FIKASA BINTANG CEMERLANG,ALTO,TRI BANYAN TIRTA Tbk,,Local,36.44,99.4,0.6
"CENTRAL ENERGI PRATAMA, PT",MTPS,META EPSI Tbk,,Local,35.7,48.5,0.0
"SERASIH HOLDICO, PT",PSGO,PALMA SERASIH Tbk,,Local,35.01,5.8,9.3
PT TRIMULTI ADINATA PERKASA,GTRA,GRAHAPRIMA SUKSESMANDIRI Tbk,,Local,34.95,19.5,0.5
PT ADIKA EKA PUTRA,GTRA,GRAHAPRIMA SUKSESMANDIRI Tbk,,Local,34.95,19.5,0.5
"YAKIN WISKON, PT",MTSM,"METRO REALTY Tbk, PT",,Local,34.53,34.8,1.1
SUMATERA TEKNINDO PT,MTMH,MURNI SADAR Tbk,,Local,32.56,7.7,8.3
RSK INVESTASI UNGGUL,PTDU,DJASA UBERSAKTI Tbk,,Local,31.67,58.3,0.1
PT KINGLAND INVESTINDO NUSANTARA,TYRE,KING TIRE INDONESIA Tbk,,Local,31.6,20.1,0.1
PT SENTRA MUTU HANDAL,MUTU,MUTUAGUNG LESTARI Tbk,,Local,31.5,40.1,0.4
AGRINDO PRATAMA PT,BISI,BISI INTERNATIONAL Tbk,,Local,31.0,5.1,40.8
PT TIRTA ORISA YASA,MINA,SANURHASTA MITRA Tbk,,Local,30.48,99.4,0.6
PT TATA UTAMA GEMILANG,BLES,SUPERIOR PRIMA SUKSES Tbk,,Local,29.7,16.2,0.1
PT KOKOH ANUGERAH NUSANTARA,KOCI,KOKOH EXA NUSANTARA Tbk,,Local,29.6,20.7,0.0
PT. SUPERNOVA FLEXIBLE PACKAGING,IPOL,INDOPOLY SWAKARSA INDUSTRY Tbk,,Local,28.7,31.9,3.8
Kendilo Pte Ltd,PSSI,IMC PELITA LOGISTIK Tbk,,Foreign,28.12,59.0,41.0
PT BARUNA BINA UTAMA,MUTU,MUTUAGUNG LESTARI Tbk,,Local,28.0,40.1,0.4
"GENERASI DUA SUKSES TERUS, PT",SCNP,SELARAS CITRA NUSANTARA PERKASA Tbk,,Local,26.67,15.2,4.8
Irama Investama PT,INDR,INDO-RAMA SYNTHETICS Tbk,,Local,25.0,5.1,2.5
PT SURYA MITRA PANCARAN,PSAT,PANCARAN SAMUDERA TRANSPORT Tbk,,Local,24.65,14.9,0.1
PRAWIRAWIDJAJA PRAKARSA PT,ULTJ,ULTRAJAYA MILK INDUSTRY AND TRADING COMPANY Tbk,,Local,23.78,63.1,4.7
KENCANA GRAHA NUSAMANDIRI PT,GWSA,GREENWOOD SEJAHTERA Tbk,,Local,23.24,20.3,0.2
"MANUNGGAL PRIME DEVELOPMENT,PT",ASRI,ALAM SUTERA REALTY Tbk,,Local,23.0,81.9,2.9
GREEN ERA ENERGY PTE LTD,BREN,BARITO RENEWABLES ENERGY Tbk,,Foreign,22.93,1.1,34.8
PT RADIANT NUSA INVESTAMA,RUIS,RADIANT UTAMA INTERINSCO Tbk,,Local,22.64,76.8,14.9
"AMANDA CIPTA PERSADA, PT",GOLD,"VISI TELEKOMUNIKASI INFRASTRUKTUR Tbk, PT",,Local,21.93,94.7,5.3
PT. DHARMA MULIA JAYA,CGAS,CITRA NUSANTARA GEMILANG Tbk,,Local,21.44,29.1,0.9
PT TRITUNGGAL SUKSES INVESTAMA,ENZO,MORENZO ABADI PERKASA Tbk,,Local,20.81,30.8,0.1
MULTI ANEKADANA SAKTI PT,MASB,BANK MULTIARTA SENTOSA Tbk,,Local,18.81,20.5,6.5
"PRIMA GRAHA HIBURAN,PT",MYTX,ASIA PACIFIC INVESTAMA Tbk,,Local,18.51,98.7,0.7
"ADILAKSA MANUNGGAL, PT",TRST,TRIAS SENTOSA Tbk,,Local,17.91,76.5,5.0
PT. TIRTAMAS ANGGADA,ALTO,TRI BANYAN TIRTA Tbk,,Local,16.25,99.4,0.6
PT TIRTA ORISA YASA,UANG,PAKUAN Tbk,,Local,16.24,97.2,0.5
PT NGRUMAT BONDO UTOMO,SMDR,SAMUDERA INDONESIA Tbk,,Local,16.02,21.9,3.0
PT. ALTA INTERNASIONAL INDONESIA,HELI,JAYA TRISHINDO Tbk,,Local,16.0,89.8,10.2
"NAWA PANDUTA, PT",AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk,,Local,15.05,40.3,0.1
PT. SURYA CITRA MEDIA TBK,SCMA,SURYA CITRA MEDIA Tbk,,Local,14.15,97.2,2.8
PT. MEGAH PRAKARSA UTAMA,BOSS,BORNEO OLAH SARANA SUKSES Tbk,,Local,13.58,99.5,0.5
PT ADI PRATAMA NUSANTARA,CNMA,NUSANTARA SEJAHTERA RAYA Tbk,,Local,13.5,73.0,27.0
PT TIRTA ORISA YASA,RAJA,RUKUN RAHARJA Tbk,,Local,12.38,96.6,3.4
TAN PING,HOMI,GRAND HOUSE MULIA Tbk,,Local,12.0,99.8,0.2
PT BUDILESTARI SENTOSA,KKES,KUSUMA KEMINDO SENTOSA Tbk,,Local,11.2,47.9,0.1
PT. FERSINDO NUSA JAYA,ITMA,SUMBER ENERGI ANDALAN Tbk,,Local,11.01,95.9,3.5
"PRIMANTARA UTAMA SEJAHTERA, PT",LPKR,LIPPO KARAWACI Tbk,,Local,10.4,55.5,43.1
DAIWA HOUSE INDUSTRY CO. LTD,BEST,BEKASI FAJAR INDUSTRIAL ESTATE Tbk,,Foreign,10.0,87.9,12.1
PT PLATINUM BERKAH ABADI,RGAS,KIAN SANTANG MULIATAMA Tbk,,Local,9.64,22.8,0.1
PT. BHINEKA ABADI INVESTAMA,UANG,PAKUAN Tbk,,Local,9.49,97.2,0.5
"ANEKA BUMI PRASIDHA, PT",PSDN,PRASIDHA ANEKA NIAGA Tbk,,Local,9.48,11.9,0.5
PT. CIPTA NYATA GEMILANG,CGAS,CITRA NUSANTARA GEMILANG Tbk,,Local,9.1,29.1,0.9
"AMANDA CIPTA PERSADA, PT",AMRT,SUMBER ALFARIA TRIJAYA Tbk,,Local,8.94,51.7,33.0
PT GATSU GRIYA MEGATAMA,MAYA,BANK MAYAPADA INTERNASIONAL Tbk,,Local,8.75,9.8,24.7
SALIM LIM,KBAG,KARYA BERSAMA ANUGERAH Tbk,,Local,8.47,99.8,0.2
"ANEKA AGROPRASIDHA, PT",PSDN,PRASIDHA ANEKA NIAGA Tbk,,Local,7.92,11.9,0.5
MARINDO INVESTAMA PT,INAI,INDAL ALUMINIUM INDUSTRY Tbk,,Local,7.84,37.6,0.1
PT PURINUSA EKAPERSADA,UCID,UNI-CHARM INDONESIA Tbk,,Local,7.57,18.0,15.2
PT. AFDA EKSELENSI LINTAS DUNIA,MUTU,MUTUAGUNG LESTARI Tbk,,Local,7.32,40.1,0.4
PT MNC Sekuritas,KPIG,MNC LAND Tbk,,Local,7.31,42.9,57.1
PT. TIRTA MARITIM NUSANTARA,CGAS,CITRA NUSANTARA GEMILANG Tbk,,Local,7.14,29.1,0.9
ANUGERAH INVESTINDO NUSANTARA PT,ITIC,INDONESIAN TOBACCO Tbk,,Local,7.02,17.3,11.8
PT SINAR RATU SENTOSA,INPS,INDAH PRAKASA SENTOSA Tbk,,Local,6.92,94.0,0.0
DRS LO KHENG HONG,DILD,INTILAND DEVELOPMENT Tbk,,Local,6.79,69.7,29.0
PT. AMAN DHITYA INVESTAMA,PDES,DESTINASI TIRTA NUSANTARA Tbk,,Local,6.64,100.0,0.0
PT CERANA ARTHAPUTRA,INPC,BANK ARTHA GRAHA INTERNASIONAL Tbk,,Local,6.54,42.6,8.1
DRS LO KHENG HONG,BMTR,GLOBAL MEDIACOM Tbk,,Local,6.44,91.5,8.5
MULINDO INVESTAMA PT,INAI,INDAL ALUMINIUM INDUSTRY Tbk,,Local,6.27,37.6,0.1
DRS LO KHENG HONG,GJTL,GAJAH TUNGGAL Tbk,,Local,6.26,28.6,21.4
PT SURYAMITRA KUSUMA,GGRM,GUDANG GARAM Tbk,,Local,6.26,11.3,5.8
PT PESONA SUKSES CEMERLANG,AMMN,AMMAN MINERAL INTERNASIONAL Tbk,,Local,6.26,84.7,15.3
PT SURYA DUTA MAS,BHAT,BHAKTI MULTI ARTHA Tbk,,Local,6.0,76.6,23.4
ALQHAISAR SUKSES ABADI PT,IBOS,INDO BOGA SUKSES Tbk,,Local,5.89,75.8,7.5
DRS LO KHENG HONG,ABMM,ABM INVESTAMA Tbk,,Local,5.64,69.7,30.3
PT IMC PELITA LOGISTIK TBK,PSSI,IMC PELITA LOGISTIK Tbk,,Local,5.46,59.0,41.0
"MONDIAL INVESTAMA INDONESIA, PT",DYAN,DYANDRA MEDIA INTERNATIONAL Tbk,,Local,5.27,91.5,0.6
DRS LO KHENG HONG,SIMP,SALIM IVOMAS PRATAMA Tbk,,Local,5.03,16.3,2.0
PT SEJAHTERA MAHKOTA PERSADA,STAR,BUANA ARTHA ANUGERAH Tbk,,Local,4.98,53.6,46.4
"MULTI GARAM UTAMA, PT",HOPE,HARAPAN DUTA PERTIWI Tbk,,Local,4.95,95.8,3.6
PT TANAM INVESTASI INDONESIA,PGEO,PERTAMINA GEOTHERMAL ENERGY Tbk,,Local,4.95,9.7,16.1
GRAHA INOVASI UNGGUL PT,INPC,BANK ARTHA GRAHA INTERNASIONAL Tbk,,Local,4.94,42.6,8.1
PT. Astana Berkat Indonesia,APIC,PACIFIC STRATEGIC FINANCIAL Tbk,,Local,4.92,88.5,11.5
"SUMBER TEKNOLOGI MULIA, PT",STAR,BUANA ARTHA ANUGERAH Tbk,,Local,4.92,53.6,46.4
PT ZED UTAMA PERSADA,GAMA,AKSARA GLOBAL DEVELOPMENT Tbk,,Local,4.91,97.2,2.8
PT BARA SEJAHTERA SUKSES,GAMA,AKSARA GLOBAL DEVELOPMENT Tbk,,Local,4.91,97.2,2.8
SWISS LIFE (SINGAPORE) PTE.LTD.,INDS,INDOSPRING Tbk,,Foreign,4.9,94.5,5.1
PT. SURYA KARYA DIGITAL,AMMS,AGUNG MENJANGAN MAS Tbk,,Local,4.9,48.9,51.1
MAYBANK SECURITIES PTE. LTD.,VOKS,VOKSEL ELECTRIC Tbk,,Foreign,4.9,15.0,84.8
