source,target,pct,value_idr
REKSA DANA SAHAM EMCO PESONA,ARMY,1.34,6026270000.0
PT SEJAHTERA MAHKOTA PERSADA,ARMY,1.1,4940000000.0
FIDELITY FUNDS,ARNA,7.41,274540876500.0
PANGOLIN INV MANAG PTE LTD-PANGOLIN ASIA FUND,ARNA,2.91,107707864500.0
PT. AIA FINANCIAL,ARNA,2.03,75434930500.0
EMPLOYEES PROVIDENT FUND BOARD,ARNA,1.95,72115313000.0
GOVERNMENT OF NORWAY,ARNA,1.49,55133274000.0
"UBS AG, LONDON",ARNA,1.36,50264128640.0
UNITED OVERSEAS BANK NOMINEES (PRIVATE) LIMITED,ARTA,4.48,56000000000.0
UOB KAY HIAN PRIVATE LIMITED,ARTA,1.33,16577400000.0
PT. ASURANSI JIWA IFG,ARTI,4.46,698564000.0
REKSA DANA TREASURE SAHAM MANTAP,ARTI,1.0,157000000.0
DRS SURONO SUBEKTI,ASDM,2.92,6900730500.0
PT ASTRA INTERNATIONAL TBK,ASGR,76.87,1606966499000.0
DJS KETENAGAKERJAAN PROGRAM JAMINAN HARI TUA,ASII,2.74,6933222500000.0
EMPLOYEES PROVIDENT FUND BOARD,ASII,1.28,3246124387500.0
PT ASTRA INTERNATIONAL TBK,ASII,1.04,2623355625000.0
PT MINNA PADI INVESTAMA SEKURITAS Tbk,ASJT,3.55,9479336303.0
PERUSAHAAN PERSEROAN (PERSERO) PT. ASABRI,ASJT,2.01,5372982800.0
REKSA DANA AURORA SMC EQUITY,ASJT,1.53,4093397400.0
SUWANTARA GOTAMA,ASLC,2.49,23819535000.0
"ASURANSI JIWA KRESNA, PT",ASMI,29.96,53684176000.0
ANTONIUS GUNAWAN GHO,ASPI,1.41,3195898400.0
PT MAYBANK SEKURITAS INDONESIA - REGISTRAR,ASRI,6.68,171940683300.0
"PANIN SEKURITAS Tbk, PT",ASRI,3.73,96039008200.0
DRS SURONO SUBEKTI,ASRM,1.18,4309341036.0
IR. T. PERMADI RACHMAT,ASSA,4.8,137309462500.0
SUWANTARA GOTAMA,ASSA,2.56,73363127500.0
GOVERNMENT OF NORWAY,ASSA,1.64,47005997500.0
UBS AG SINGAPORE BRANCH,ASSA,1.45,41497685000.0
TRIPUTRA INVESTINDO ARYA,ASSA,1.25,35767055225.0
VERAH WAHYUDI S WONG,ATAP,1.03,8079375625.0
BARCLAYS CAPITAL SECURITIES LIMITED,ATLA,1.02,3147930000.0
PT ASTRA INTERNATIONAL TBK,AUTO,80.0,10063602339570.0
PT. PRUDENTIAL LIFE ASSURANCE,AUTO,1.09,136819593000.0
UOB KAY HIAN PRIVATE LIMITED,AYLS,1.41,2280000000.0
PT MNC KAPITAL INDONESIA TBK,BABP,48.85,1107635451129.0
PT GLOBAL MEDIACOM TBK,BABP,7.23,163885099983.0
BANK JULIUS BAER & CO. LTD,BACA,24.03,623389323570.0
REKSA DANA CAPITAL EQUITY FUND,BACA,1.98,51473695000.0
"PACIFIC LIFE INSURANCE, PT",BACA,1.84,47723000000.0
PT. ALANA CIPTA SELARAS,BACA,1.52,39365794000.0
REKSA DANA FOSTER EQUITY FUND,BACA,1.46,37828700000.0
INTERVENTURES CAPITAL PTE. LTD,BACA,1.11,28721310800.0
