stock,company,sector,jan_local_pct,jan_foreign_pct,feb_local_pct,feb_foreign_pct,delta_local_pct,delta_foreign_pct
SQMI,WILTON MAKMUR INDONESIA Tbk,WHOLESALE (DURABLE & NON DURABLE GOODS),21.49,78.51,22.77,77.23,1.28,-1.28
LSIP,PP LONDON SUMATRA INDONESIA Tbk,PLANTATION,27.42,13.05,28.67,11.8,1.25,-1.25
PSSI,IMC PELITA LOGISTIK Tbk,TRANSPORTATION,58.95,41.05,57.74,42.26,-1.21,1.21
IATA,MNC ENERGY INVESTMENTS Tbk,"OTHERS - TRADE, SERVICES & INVESTMENT",97.96,2.03,99.16,0.84,1.2,-1.19
AMOR,ASHMORE ASSET MANAGEMENT INDONESIA Tbk,FINANCIAL INSTITUTION,38.04,1.93,39.19,0.77,1.15,-1.16
INKP,INDAH KIAT PULP AND PAPER Tbk,PULP & PAPER,36.77,20.14,37.9,19.34,1.13,-0.8
KOKA,KOKA INDONESIA Tbk,CONSTRUCTION,25.04,2.06,23.94,3.15,-1.1,1.09
GULA,AMAN AGRINDO Tbk,PLANTATION,98.73,1.27,99.77,0.23,1.04,-1.04
BFIN,BFI FINANCE INDONESIA Tbk,FINANCIAL INSTITUTION,20.81,79.08,21.81,78.07,1.0,-1.01
CBDK,BANGUN KOSAMBI SUKSES Tbk,PROPERTY AND REAL ESTATE,13.27,1.14,12.27,2.14,-1.0,1.0
HRTA,HARTADINATA ABADI Tbk,METAL AND ALLIED PRODUCTS,91.96,8.04,92.96,7.04,1.0,-1.0
